hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
700,350,8.13,700,14.74,700,45.68,0.75,23800,3558.776328,1.1516237936
500,167,9.0,125,9.0,500,28.95,0.75,17000,697.4543506,2.2371064999
700,700,12.6,175,12.6,525,12.6,0.0,26600,177.6721784,1.0449773044
400,267,1.67,100,5.79,100,4.32,0.0,2400,115.395068,2.1606190357
400,100,4.65,100,6.16,300,6.32,0.75,10400,20.54198025,0.6694934017
900,900,5.06,450,27.71,450,27.71,0.75,23400,1381.607181,1.1914897046
400,114,1.48,400,32.0,400,15.79,0.5,5600,5908.088166,1.834705702
900,450,7.71,450,12.79,225,10.54,-0.5,32400,482.4568576,5.3850701514
700,467,28.0,350,28.0,525,28.0,-1.0,25200,2807.769674,2.4883612177
150,300,2.57,225,15.51,300,9.63,-1.0,9000,541.8466434,2.7131009395
900,450,5.06,900,45.47,225,5.06,0.5,23400,11175.13192,7.2971059157
1000,333,4.19,500,14.21,1000,80.0,0.0,34000,15255.12173,2.8509348027
267,400,1.48,400,27.58,100,2.47,0.0,7200,3737.960513,9.8753766606
100,300,1.0,75,5.45,225,3.08,1.0,12000,3.413647873,0.5859590851
114,400,1.33,300,16.26,200,7.16,0.5,9600,371.4567418,2.4534412084
300,100,2.57,225,3.08,150,3.71,-0.25,5400,113.7315258,3.8877303418
250,500,20.0,375,27.24,250,20.0,-0.5,18000,1581.822997,3.1169923154
1000,1000,4.8,750,15.79,750,15.79,-0.75,14000,17184.41257,2.8085271038
400,100,7.2,100,7.2,400,21.68,0.75,4800,560.0372131,0.9563488766
700,700,28.0,175,28.0,175,28.0,0.75,22400,301.7677649,1.1370658162
200,700,12.6,700,43.11,175,12.6,-1.0,9800,5499.661517,1.8988242286
320,800,2.67,600,6.0,200,14.53,0.0,17600,596.1072194,2.4196731029
280,700,3.36,175,4.33,700,32.79,1.0,12600,1403.135993,1.260754612
500,143,3.4,125,4.93,125,4.93,-0.25,20000,8.374640058,2.4866280485
800,800,3.84,800,34.53,200,3.84,-1.0,20800,2276.814128,2.3071137881
700,700,6.0,175,13.36,700,19.89,-0.25,9800,815.2275192,0.4197234278
300,86,2.04,150,2.04,150,2.04,-0.5,5400,27.65944417,3.248526251
600,300,2.23,450,24.39,450,24.39,1.0,8400,3243.753554,1.0075294329
150,600,24.0,150,24.0,600,24.0,-0.25,1200,16436.3798,0.2664266915
500,500,2.09,125,8.16,250,20.0,-0.75,10000,233.6312439,1.8775659357
700,233,12.6,525,30.39,175,12.6,-0.5,7000,11282.74656,5.7326104896
800,533,4.5,200,11.58,400,32.0,0.0,20800,604.5980638,1.8897679446
800,229,4.5,600,28.11,600,28.11,0.75,6400,16887.11618,1.1162942849
600,600,24.0,450,24.0,600,41.37,-1.0,15600,8837.232329,2.4890209809
600,240,5.14,150,12.0,150,12.0,-0.25,20400,54.14731848,2.2908941181
286,1000,4.19,250,13.55,1000,21.05,-0.5,30000,1804.819332,2.396983363
100,400,4.65,200,7.16,400,21.68,0.5,7200,707.4244028,1.4374237658
300,300,1.0,225,13.03,225,13.03,-0.75,7200,636.3928892,2.8586243802
233,700,28.0,175,28.0,175,28.0,-0.75,5600,2360.596891,2.3349920566
400,200,7.2,300,21.79,300,21.79,-0.75,10400,1906.841842,3.0134385599
900,600,3.0,675,29.13,675,29.13,0.25,27000,4105.949115,1.6160995831
300,120,5.4,300,5.4,300,5.4,-0.5,7200,359.506677,3.0057712191
400,267,1.48,100,3.95,300,6.32,0.5,12800,11.52137723,0.6227508767
500,250,2.81,500,23.42,500,23.42,-1.0,19000,3060.996317,2.7327320126
300,200,1.0,225,10.54,225,10.54,-0.25,9000,249.4580968,2.3246746784
333,1000,4.8,500,8.68,500,21.58,1.0,28000,370.8682591,0.9303918794
467,700,2.33,525,9.12,175,2.33,-0.25,26600,318.1418448,7.736291378
400,200,1.67,100,2.84,100,5.05,0.0,15200,3.291528682,1.9182664788
400,1000,40.0,250,40.0,1000,40.0,0.75,28000,4458.10769,1.072211617
143,500,1.86,500,28.95,500,25.26,0.5,10000,4393.806276,1.3735357434
700,200,2.6,175,6.26,175,6.26,-0.5,14000,61.17042061,3.3712343873
400,100,3.43,300,10.74,300,8.53,-0.5,8000,824.3833718,3.5608063762
