hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
257;900;3.34;225;10.54;900;12.32;0;10800;923.7436647
600;150;5.14;600;23.68;600;8.21;0.25;9600;6937.056426
600;150;2.88;450;32.68;600;34.74;-1;19200;5929.623071
280;700;2.33;700;45.68;525;26.53;0.75;15400;9440.081795
667;1000;6.79;750;54.47;500;30.79;-1;8000;49408.8297
250;1000;3.33;500;34.47;750;54.47;0.75;38000;3594.764275
600;200;6.97;150;9.24;600;8.21;0.5;9600;134.0432318
250;1000;4.8;250;16.32;250;8.03;-0.25;2000;9196.306357
400;133;16;100;16;100;16;-0.75;10400;148.3542639
1000;1000;40;1000;76.32;750;40;1;10000;139936.2708
600;200;2.88;450;31.03;600;34.74;0.75;6000;10442.86111
700;350;6;350;16.39;525;11.05;1;21000;284.9223219
500;500;4.29;250;9.87;500;28.95;-0.75;4000;5146.192334
333;500;4.29;500;12.37;375;28.62;0.25;17000;1204.576448
400;600;4.08;300;15.16;600;43.58;-0.25;10800;5309.244585
200;600;6.97;300;24;450;16.11;-0.5;4800;5979.778426
800;400;2.97;400;21.68;600;34.74;0.25;4800;13372.99223
1000;250;8.57;250;8.57;750;43.42;-0.5;16000;3645.795279
300;600;6.97;300;11.84;450;7.82;-0.25;2400;8581.707198
800;800;3.35;800;31.58;800;31.58;-0.75;30400;10826.31872
200;700;12.6;350;12.6;175;12.6;-1;4200;1769.683608
267;800;9.29;800;64;400;17.26;-0.75;12800;26482.39101
300;300;1.26;225;9.71;75;1.26;-0.5;10200;91.65693891
200;600;2;450;32.68;300;11.84;0.75;6000;6826.784738
900;300;16.2;450;26.05;450;16.2;0.5;5400;11838.55779
75;300;2.57;150;7.03;75;2.57;0;6000;38.13803396
200;600;4.08;300;21.79;600;10.42;-0.25;15600;988.6315808
200;500;2.81;125;3.09;125;4.47;0.25;7000;13.65733514
175;700;2.6;175;10.78;525;36.2;0.5;14000;1605.19234
400;800;9.29;200;13.79;600;14.84;0.5;16000;285.5024519
286;1000;8.57;250;8.57;1000;68.95;0.5;32000;11136.10371
900;900;36;225;36;675;39.08;-0.5;27000;3768.266295
600;900;7.71;450;24.39;225;12.2;0;16200;2143.835431
280;700;2.6;350;20.26;175;12.07;0.75;8400;1260.929375
600;200;3.38;600;10.42;600;34.74;-0.5;15600;4934.289917
175;700;2.93;175;6.91;350;25.42;-0.5;18200;566.7196953
333;500;4.29;250;8.95;250;17.24;0.75;10000;211.9357444
900;900;16.2;225;16.2;225;17.17;0.5;36000;125.034309
400;400;1.33;400;29.05;400;14.32;1;8000;2698.159338
700;700;2.93;525;26.53;525;5.25;0.75;12600;3640.302388
286;1000;18;750;37.89;1000;24.74;-1;18000;25860.71542
175;700;12.6;525;16.86;175;12.6;0.5;23800;525.7072697
267;400;3.43;100;3.43;300;21.79;0.75;8800;234.5485879
150;600;2;600;28.11;300;15.16;-0.25;24000;2029.018302
600;900;6.11;675;6.75;450;14.45;-0.75;10800;5494.195322
100;300;1.44;75;2.41;300;6.32;-0.5;10800;36.91153173
600;171;2;450;22.74;300;10.74;0.25;16800;1263.045295
800;229;2.97;400;29.05;400;11.37;-1;11200;3025.06711
900;450;5.06;225;8.88;450;29.37;0.25;27000;442.0721166
200;700;4.75;350;22.84;350;12.53;0.5;18200;557.5195205
500;125;2.09;375;9.28;375;18.95;-0.5;9000;1674.794307
700;280;8.13;350;26.71;700;50.84;0.5;23800;3870.820584
143;500;2.4;500;28.95;500;6.84;1;15000;1564.86172
257;900;3.34;675;11.72;900;28.89;0.5;12600;5552.064483
900;450;7.71;450;16.11;450;36;0.25;32400;1036.390418
500;250;1.86;250;8.03;125;9.54;-1;4000;325.3199258
300;600;2.51;450;11.13;150;7.03;-0.25;9600;1136.389951
600;600;24;150;24;450;24;-1;4800;3596.093018
400;100;2.72;400;18.74;300;24;-0.5;9600;3183.550648
1000;1000;8.57;500;32.63;1000;50.53;1;24000;4970.136584
800;800;32;400;32;600;32;-1;6400;32367.29117
171;600;24;300;24;600;48;1;20400;2613.711482
300;75;12;150;12;300;12;1;11400;105.4538666
100;300;1;300;17.37;300;20.68;-0.75;7200;1795.437272
600;150;10.8;450;31.03;300;19.58;-1;12000;3818.224995
250;500;2.09;375;17.57;375;13.42;-0.5;19000;739.6360177
286;1000;11.61;750;13.03;250;19.08;0.75;24000;1122.697233
1000;1000;3.71;250;11.71;500;30.79;1;24000;406.688377
150;300;2.04;300;3;225;5.57;-0.5;9000;93.20402522
900;450;16.2;675;46.54;900;72;-0.25;18000;36710.68443
467;700;28;350;28;700;37.95;0.75;9800;4899.824263
